COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDProd
110867541,33,3304706,330470620,33047062000,28470000,-21.468514,-42.114554,,1281,1
99069413,33,3300936,330093605,33009360501,27998000,-22.148127,-41.734664,GADO LEITEIRO,7695,2
110866971,33,3304409,330440915,33044091500,27475000,-22.827201,-44.145038,,7966,3
113054630,33,3301009,330100945,33010094500,28155000,-21.261806,-41.476322,,6186,4
110859986,33,3300902,330090230,33009023000,28430000,-21.596387,-41.983963,,21082,5
199499928,33,3304755,330475515,33047551500,28230000,-21.433401,-41.200793,CURRAL DE LEITE,20640,6
110869911,33,3305703,330570305,33057030500,28637000,-22.109794,-42.750191,ROCA DO MARCIO,15601,7
113040141,33,3301009,330100980,33010098000,28175000,-21.540413,-41.356193,CURRAL,18924,8
199249698,33,3305133,330513305,33051330500,28455000,-21.429813,-41.980769,CURRAL,18189,9
98913800,33,3300209,330020915,33002091500,28977010,-22.694438,-42.261652,PLANTACAO DE EUCALIPTOS,16149,10
112722203,33,3300902,330090215,33009021500,28445000,-21.458173,-41.904137,,10172,11
217091345,33,3304508,330450810,33045081000,27660000,-22.205982,-43.511131,SITIO CONCEICAO,21925,12
198917750,33,3304805,330480520,33048052000,28400000,-21.546382,-41.660066,ADILTON,19380,13
98814053,33,3300159,330015905,33001590500,28495000,-21.672202,-42.187859,CURRAL,14410,14
99114840,33,3301157,330115710,33011571000,28180000,-21.445644,-41.434496,,18866,15
99021717,33,3305505,330550510,33055051000,28995810,-22.845281,-42.516647,,10624,16
110869876,33,3305703,330570310,33057031000,28637000,-22.241766,-42.700843,,2722,17
113061855,33,3301009,330100980,33010098000,28175000,-21.674008,-41.233229,RECANTO DOS COQUEIROS,6342,18
110866299,33,3304151,330415105,33041510500,28735000,-22.143073,-41.537419,,12241,19
204670224,33,3304706,330470650,33047065000,28470000,-21.625371,-42.290514,SN,17564,20
112935415,33,3305802,330580210,33058021000,25995520,-22.242172,-42.767388,,17578,21
110860712,33,3301157,330115705,33011570500,28180000,-21.550593,-41.549437,,10861,22
112805115,33,3302106,330210620,33021062000,28570000,-21.722529,-42.183738,CURRAL DE BOI 1,1,23
98997915,33,3305802,330580210,33058021000,25985010,-22.170297,-42.758069,LAVOURA,10575,24
197673787,33,3302056,330205605,33020560500,28250000,-21.422519,-41.727738,PLANTACAO DE BANANAS,2550,25
98930063,33,3305802,330580210,33058021000,25995520,-22.199599,-42.756139,PRIDUCAO DE HORTALICAS,16623,26
110863208,33,3302403,330240305,33024030503,27943400,-22.230725,-41.742578,,14042,27
197467379,33,3301702,330170205,33017020500,25085357,-22.796771,-43.285029,CURRAL,13418,28
113034814,33,3301009,330100950,33010095000,28140000,-21.953848,-41.192633,SEM NOME,4219,29
216651218,33,3303856,330385610,33038561000,26980000,-22.316958,-43.383127,PESQUE E PAGUE,1140,30
110859114,33,3300308,330030820,33003082000,27160000,-22.325625,-43.973323,,12773,31
43269125,33,3304102,330410205,33041020500,28390000,-20.943007,-41.996229,CRIACAO DE GADO E RETIRADA DE LEITE,26464,32
97796627,33,3300902,330090205,33009020500,28435000,-21.590193,-41.940319,,16384,33
112896629,33,3303401,330340125,33034012500,28615000,-22.406168,-42.315164,,12639,34
112715558,33,3300902,330090220,33009022000,28450000,-21.416331,-41.894125,SITIO SAO MATEUS,8603,35
199166988,33,3304607,330460720,33046072000,28770000,-21.999363,-41.797586,SEM DENOMINACAO,11377,36
202064566,33,3301009,330100920,33010092000,28070420,-21.823777,-41.523064,SEM NOME,16925,37
112717008,33,3300902,330090205,33009020500,28430000,-21.54774,-41.877302,,8049,38
110867974,33,3304805,330480510,33048051000,28400000,-21.86898,-41.918136,,24253,39
198819115,33,3304805,330480510,33048051000,28400000,-21.770411,-41.901425,CURRAL,3567,40
