COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDProd
43269614,33,3304102,330410205,33041020500,28390000,-20.953283,-42.071605,,170,1
110498993,33,3305802,330580210,33058021000,25995490,-22.219453,-42.762289,SEM DENOMINACAO,330,2
41032165,33,3300605,330060505,33006050500,28360000,-21.132852,-41.667884,BILL RACOES,477,3
110867774,33,3304755,330475515,33047551500,28230000,-21.268782,-41.268346,,48,4
110865144,33,3303856,330385605,33038560500,26950000,-22.364336,-43.329828,PLANTACAO DE TOMATE,587,5
110858891,33,3300225,330022505,33002250500,25845000,-22.229757,-43.159055,LAGO DE PEIXES,524,6
202066766,33,3301009,330100920,33010092000,28020889,-21.871332,-41.57057,GALINHEIRILO,16,7
112637932,33,3304409,330440915,33044091500,27475000,-22.898045,-44.188949,PAULO SOARES,116,8
110547611,33,3304805,330480510,33048051000,28400000,-21.698021,-41.893878,,472,9
110859933,33,3300902,330090220,33009022000,28435000,-21.384712,-41.847494,,585,10
40145434,33,3300209,330020915,33002091500,28974795,-22.648062,-42.217792,,273,11
199601560,33,3306305,330630505,33063050500,27210070,-22.48947,-44.072172,AGROPET MARA,69,12
197241861,33,3301306,330130610,33013061000,28860000,-22.515195,-41.990729,SEM NOME,559,13
198136945,33,3304151,330415105,33041510500,28735000,-22.05986,-41.468358,CURRAL DE ORDENHA,331,14
110148508,33,3304409,330440915,33044091500,27475000,-22.816384,-44.187948,,446,15
113126226,33,3304805,330480510,33048051000,28400000,-21.687357,-41.899578,,599,16
112820513,33,3300605,330060525,33006052500,28365000,-20.934886,-41.784354,,167,17
110127114,33,3305133,330513305,33051330500,28455000,-21.427637,-42.002739,,183,18
41161688,33,3300605,330060510,33006051000,28360000,-21.004115,-41.78214,BARRACAO,360,19
202689340,33,3302403,330240325,33024032500,27980000,-22.254707,-41.973835,CTE TRILHA DA MARCHA,235,20
112807762,33,3302106,330210607,33021060700,28585000,-21.723171,-42.10452,SITIO SANTA BARBARA,157,21
113137532,33,3305703,330570310,33057031000,28637000,-22.228389,-42.688251,,464,22
112735992,33,3305901,330590125,33059012500,28755000,-22.113383,-42.177336,,464,23
112516527,33,3303005,330300505,33030050500,28466000,-21.398946,-42.147877,,379,24
110871271,33,3306305,330630505,33063050500,27286135,-22.455622,-44.066017,,344,25
196988107,33,3301306,330130605,33013060500,28860000,-22.423164,-42.214006,CURRAL,71,26
113042105,33,3301009,330100930,33010093000,28020884,-21.698354,-41.565033,,479,27
196790785,33,3300605,330060510,33006051000,28360000,-21.015009,-41.73402,CURRAL,395,28
113124099,33,3304805,330480515,33048051500,28400000,-21.674687,-41.932052,,271,29
113215023,33,3304755,330475505,33047550500,28230000,-21.506527,-41.137649,,161,30
