COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDProd
113221765,33,3304755,330475510,33047551000,28230000,-21.318449,-40.985542,,594,1
96716930,33,3305307,330530707,33053070700,28550000,-21.752632,-41.942953,,1538,2
110506246,33,3303401,330340115,33034011500,28605702,-22.291953,-42.647857,,458,3
110572317,33,3301504,330150405,33015040500,28540000,-22.056036,-42.314094,,1669,4
112735090,33,3305901,330590110,33059011000,28757970,-22.202568,-42.249654,,1503,5
198535923,33,3304201,330420105,33042010500,27540172,-22.590057,-44.509188,CURRAU,104,6
98125412,33,3305703,330570305,33057030500,28637000,-22.114783,-42.710482,LAVOURA,1164,7
112833553,33,3304607,330460710,33046071000,28770000,-22.042289,-41.998453,,867,8
198534798,33,3304755,330475505,33047550500,28230000,-21.478749,-41.074882,VAGO,1955,9
110867059,33,3304508,330450805,33045080500,27660000,-22.200127,-43.580302,,1318,10
98957272,33,3300506,330050620,33005062000,28660000,-22.161214,-42.347948,,1944,11
110859531,33,3300605,330060505,33006050500,28360000,-21.1337,-41.764941,,1602,12
110572860,33,3302700,330270005,33027000500,24910475,-22.869904,-42.817463,,1223,13
42024290,33,3302106,330210620,33021062000,28580000,-21.689636,-42.202369,GALINHEIRO,226,14
199244947,33,3305802,330580210,33058021000,25995415,-22.227042,-42.803317,SEM NOME,518,15
46594495,33,3305901,330590105,33059010500,28750000,-22.118267,-42.124267,SITIO,863,16
110859927,33,3300902,330090220,33009022000,28435000,-21.368731,-41.824752,GALINHEIRO,1552,17
109869600,33,3302205,330220515,33022051500,28300000,-21.160693,-42.173605,TANQUES DE ALEVINOS,666,18
95669488,33,3304409,330440905,33044090500,27460000,-22.750582,-44.104098,PECUARIA,24,19
110868043,33,3304805,330480520,33048052000,28400000,-21.560658,-41.686052,,87,20
42351202,33,3302502,330250235,33025023500,25916484,-22.597229,-43.114828,VENDE LIMAO ACAI E GOIABA,1840,21
202062648,33,3301009,330100930,33010093000,28020887,-21.840403,-41.746291,CURRAL,245,22
199393510,33,3306156,330615605,33061560500,28375000,-20.903347,-41.886219,CURRAL,291,23
110867666,33,3304755,330475505,33047550500,28230000,-21.5477,-41.148222,,507,24
40998069,33,3301207,330120705,33012070500,28640000,-21.912751,-42.656747,CURRAL,429,25
98091861,33,3301405,330140505,33014050500,28740000,-22.168773,-41.899331,SITIO DO DONI,1618,26
110862030,33,3301900,330190019,33019001900,24867478,-22.80102,-42.773288,,1174,27
99096734,33,3303609,330360905,33036090500,26600000,-22.617726,-43.658654,,242,28
110547515,33,3304805,330480515,33048051500,28420000,-21.645637,-41.909951,,743,29
