COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDProd
98813843,33,3300159,330015905,33001590500,28495000,-21.659704,-42.169354,CURRAL DE BOIS,38421,1
112727904,33,3304102,330410215,33041021500,28390000,-20.859551,-41.918319,,38629,2
110573682,33,3305752,330575205,33057520500,24890000,-22.811548,-42.737056,,49072,3
201899886,33,3300803,330080305,33008030500,28680000,-22.52415,-42.624138,SITIO,13499,4
198090374,33,3304003,330400310,33040031000,27175000,-22.618338,-43.99434,CURRAL,70141,5
112802833,33,3302106,330210620,33021062000,28580000,-21.7837,-42.131089,,21549,6
99075631,33,3304706,330470650,33047065000,28470000,-21.675599,-42.239324,CRIACAO GADO,72507,7
198522450,33,3304755,330475505,33047550500,28230000,-21.521762,-41.170751,GRANJEIRO,70697,8
112638262,33,3304409,330440915,33044091500,27475000,-22.802058,-44.197757,,20930,9
110075297,33,3302403,330240330,33024033000,27985000,-22.191193,-42.00371,BOI DE ENGORDA E CORTE,4555,10
