COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDProd
40144741,33,3300209,330020915,33002091500,28974810,-22.752791,-42.245948,GADO BOVINO PROPR PAULINHO DO ACOUQUE,281,1
197691379,33,3304201,330420105,33042010500,27540172,-22.569524,-44.594104,CIRRAU,188,2
197008763,33,3300605,330060520,33006052000,28360000,-21.022502,-41.805602,CURRAL,31,3
197518060,33,3302106,330210605,33021060500,28570000,-21.724779,-42.098875,CURRAL,36,4
98801877,33,3302502,330250235,33025023500,25930890,-22.606376,-43.149487,,42,5
110573662,33,3305752,330575205,33057520500,24890000,-22.802358,-42.729072,,223,6
42213330,33,3302205,330220525,33022052500,28300000,-21.244892,-41.730616,FAZENDA MIGUEL RANGEL,273,7
94686824,33,3300100,330010025,33001002500,23955150,-22.998931,-44.537968,BAZAR,8,8
41129194,33,3301405,330140505,33014050500,28740000,-22.147218,-41.867966,SANTA ISABEL,128,9
112937264,33,3305802,330580210,33058021000,25977401,-22.271022,-42.774303,,201,10
110870892,33,3306156,330615605,33061560500,28375000,-20.91011,-41.862682,,65,11
197397711,33,3301009,330100915,33010091500,28120000,-21.814048,-41.438003,FAZENDA,46,12
113217088,33,3304755,330475515,33047551500,28230000,-21.420942,-41.226787,,42,13
196866515,33,3300902,330090210,33009021000,28430000,-21.61195,-42.109442,CURRAL DE BOIS,29,14
223896693,33,3301009,330100985,33010098500,28010000,-21.503212,-41.345917,CURRAL,209,15
196709198,33,3301009,330100905,33010090506,28050450,-21.670315,-41.498391,CHACARA,81,16
110572221,33,3300951,330095105,33009510500,25870000,-22.058747,-43.197262,,64,17
113139480,33,3305703,330570305,33057030500,28637000,-22.126357,-42.695006,,87,18
112690884,33,3305307,330530710,33053071000,28550000,-21.841517,-42.074019,,203,19
40997627,33,3301207,330120705,33012070500,28640000,-21.956523,-42.570131,CRIACAO PEIXE E GADO,44,20
220696461,33,3301900,330190018,33019001800,24858548,-22.778268,-42.939187,EQUIPET RACOES,168,21
