COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDProd
113215064,33,3304755,330475505,33047550500,28230000,-21.511908,-41.132003,,55014,1
113039290,33,3301009,330100950,33010095000,28140972,-21.96932,-41.206424,SEM NOME,49388,2
204721012,33,3304805,330480515,33048051500,28400000,-21.594106,-41.855168,FAZENDA SANTA HELENA,21322,3
99132895,33,3301157,330115710,33011571000,28180000,-21.454851,-41.416135,LAVOURA,50126,4
110870527,33,3306008,330600820,33060082000,25840000,-22.079235,-43.035632,SITIO BOM JARDIM,3512,5
112682840,33,3300506,330050620,33005062000,28666000,-22.284029,-42.344433,,19679,6
99024290,33,3305000,330500030,33050003000,28200000,-21.873842,-41.10123,LAVOURA,12504,7
110867590,33,3304706,330470650,33047065000,28470000,-21.611252,-42.292279,,48151,8
110861497,33,3301603,330160305,33016030500,28655000,-22.007741,-42.562556,,47299,9
98715748,33,3304805,330480510,33048051000,28400000,-21.779141,-41.930465,,1546,10
113214899,33,3304755,330475515,33047551500,28230000,-21.389304,-41.135373,,3737,11
43145856,33,3303906,330390620,33039062000,25770220,-22.435658,-43.31904,,3069,12
99238004,33,3302403,330240315,33024031500,27910000,-22.323124,-42.07194,SITIO BIG BICO,36151,13
196709343,33,3301009,330100905,33010090506,28022800,-21.679501,-41.491516,SITIO,908,14
98964167,33,3300936,330093605,33009360502,27998000,-22.232017,-41.671752,,18706,15
199389865,33,3305133,330513305,33051330500,28455000,-21.375813,-41.982547,CURRAL,4954,16
99221094,33,3304300,330430005,33043000500,28800000,-22.795468,-42.637892,SITIO,41909,17
110862486,33,3302056,330205605,33020560500,28250000,-21.485938,-41.715334,,34877,18
113048238,33,3301009,330100930,33010093000,28020887,-21.734387,-41.614189,,16433,19
205121874,33,3305604,330560405,33056040500,28820000,-22.578423,-42.391508,FAZENDA MONTE VERDE,30715,20
