COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDProd
99553591,33,3304300,330430005,33043000500,28800000,-22.667964,-42.586107,CRIACAO DE PEIXE SEM NOME,307,1
198815186,33,3304557,330455705,33045570524,23530087,-22.964234,-43.690656,NAO HA,5747,2
110498918,33,3305802,330580210,33058021000,25995290,-22.255524,-42.771211,,4691,3
110862427,33,3302056,330205605,33020560500,28250000,-21.43689,-41.601776,,6482,4
46231080,33,3304706,330470650,33047065000,28470000,-21.592475,-42.295423,SN,3083,5
112934383,33,3305802,330580215,33058021500,25980190,-22.264852,-42.907636,LAVOURA,3349,6
113138040,33,3305703,330570310,33057031000,28637000,-22.098465,-42.653542,,296,7
110547702,33,3304805,330480520,33048052000,28400000,-21.572953,-41.762751,,2406,8
112844568,33,3304706,330470630,33047063000,28476000,-21.476752,-42.057101,SITIO BOM JARDIM,3998,9
110155064,33,3304003,330400315,33040031500,27175000,-22.738273,-43.853043,SEM NOME,1806,10
110860178,33,3300936,330093605,33009360502,27998000,-22.201214,-41.680765,,6986,11
113220988,33,3304755,330475515,33047551500,28230000,-21.295048,-41.151448,,3632,12
223954845,33,3301009,330100930,33010093000,28110000,-21.778745,-41.576748,GALINHA PORCO GADO LARANJA MANGA GOIABA BANANA MAMAO COCO,257,13
110871251,33,3306305,330630505,33063050500,27288260,-22.478771,-44.116575,PASTO,3026,14
196685669,33,3300308,330030820,33003082000,27165000,-22.394708,-44.021718,RANCHO GRALHA AZUL,1763,15
95652982,33,3304003,330400305,33040030500,27175000,-22.64557,-43.860884,HARAS LT,6860,16
41161864,33,3300605,330060520,33006052000,28360000,-21.016128,-41.809938,CURRAL,4077,17
112691700,33,3305307,330530705,33053070500,28555000,-21.979655,-42.188881,,6212,18
110859130,33,3300407,330040705,33004070500,27340500,-22.596675,-44.169072,,3091,19
42212105,33,3302205,330220515,33022051500,28348000,-21.147948,-42.151303,VENDA DE GADO,4012,20
113124843,33,3304805,330480520,33048052000,28400000,-21.607645,-41.64409,,4609,21
98813803,33,3304805,330480520,33048052000,28400000,-21.599483,-41.69373,LEITE,7545,22
98954394,33,3305133,330513305,33051330500,28455000,-21.384666,-41.912349,CRIACAO DE GADO,3572,23
202531591,33,3302106,330210620,33021062000,28570000,-21.740294,-42.167847,DEPOSITO DE CORTAR RACAO,2240,24
99130091,33,3305901,330590110,33059011000,28757970,-22.215724,-42.245042,GRANJA,1629,25
113224178,33,3304755,330475505,33047550500,28230000,-21.496633,-41.11808,,6524,26
110862904,33,3302205,330220525,33022052500,28300000,-21.361788,-41.785806,,4360,27
112630884,33,3303856,330385610,33038561000,26980000,-22.347721,-43.351997,ESTUFA TOMATE,5523,28
204721252,33,3304805,330480515,33048051500,28400000,-21.638124,-41.864346,OZIMAR GONCALVES,5834,29
199037486,33,3304805,330480505,33048050500,28400000,-21.702112,-41.777681,PLANTACAO DE CANA,2786,30
113212136,33,3304755,330475510,33047551000,28230000,-21.275062,-41.003205,,2484,31
112941744,33,3305802,330580215,33058021500,25985040,-22.194838,-42.846755,PLANTACAO ORGANICA,6504,32
198116532,33,3304524,330452405,33045240500,28890001,-22.442112,-41.905935,GALPAO AGRO,5910,33
199036906,33,3304805,330480505,33048050500,28400000,-21.745177,-41.782075,CURRAL,6392,34
197464591,33,3302106,330210615,33021061500,28570000,-21.726203,-42.011513,CURRAL DE VACAS LEITEIRAS,1585,35
110869707,33,3305604,330560405,33056040500,28820000,-22.682689,-42.450849,,5409,36
199114544,33,3305703,330570325,33057032500,28637000,-22.174207,-42.736615,ROCA DO BRUNO,5109,37
110867119,33,3304508,330450810,33045081000,27660000,-22.175302,-43.562776,CURRAL,594,38
198733493,33,3305158,330515805,33051580500,25780000,-22.185158,-42.968817,GRANJA VAGA,6099,39
196765696,33,3301009,330100930,33010093000,28110000,-21.709053,-41.520743,JACA MANGA COCO,7352,40
198819144,33,3304805,330480510,33048051000,28400000,-21.781413,-41.911261,CURRAL,6118,41
44937413,33,3304557,330455705,33045570524,23520550,-22.940051,-43.647211,AGROPECUARIO,4624,42
113127830,33,3304805,330480515,33048051500,28400000,-21.608679,-41.809544,,2308,43
112826705,33,3301108,330110810,33011081000,28525000,-21.857115,-42.267553,SITIO SANTA CECILIA,1532,44
223955135,33,3301009,330100930,33010093000,28125000,-21.737589,-41.590512,LIMAO COCO MANGA CANA MILHO NAPIER GADO,7181,45
112637994,33,3304409,330440905,33044090500,27475000,-22.792604,-44.145225,,2655,46
112695051,33,3305406,330540620,33054062000,25886000,-22.026009,-42.751532,,2323,47
98068947,33,3302700,330270005,33027000500,24906030,-22.863401,-42.770269,,4148,48
