COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDHub
106415687,33,3302700,330270020,33027002000,24933795,-22.956638,-42.93671,ASSEMBLEIA DE DEUS MISSAO E FAMILIA,12273,1
99080659,33,3301157,330115705,33011570500,28180000,-21.544293,-41.586159,IGREJA,1782,2
96698224,33,3305109,330510905,33051090500,25576200,-22.777696,-43.354522,IGREJA EVANGELICA BATISTA,7734,3
222976640,33,3302502,330250220,33025022000,25936820,-22.620755,-43.196086,CENTRO,1373,4
203092259,33,3303500,330350005,33035000511,26041051,-22.713714,-43.450595,IGREJA MINISTERIO APOSTOLICO SANTA SEMENTE,8582,5
40734643,33,3301702,330170220,33017022000,25230140,-22.603721,-43.283201,IGREJA ASSEMBLEIA DE DEUS ICEAD,2197,6
41021787,33,3301702,330170210,33017021000,25045730,-22.735361,-43.313261,ASSEMBLEIA DE DEUS,13168,7
41446658,33,3301009,330100905,33010090509,28110000,-21.834322,-41.274184,SALAO DO REINO DAS TESTEMUNHAS DE JEOVA,1666,8
46741948,33,3306107,330610705,33061070500,27600311,-22.246539,-43.703857,HONDA MOTOS,10000000,9
40260770,33,3300456,330045605,33004560502,26125063,-22.73838,-43.402155,IGREJA,10000000,10
