COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDHub
197668574,33,3302502,330250235,33025023500,25917170,-22.603227,-43.149718,ASSEMBLEIA DE DEUS,1522,1
198816187,33,3304805,330480505,33048050500,28400000,-21.661881,-41.759079,CONGREGACAO BATISTA EM AGUA FRIA,11510,2
198051481,33,3304151,330415105,33041510500,28735580,-22.104617,-41.456094,PESCADORES DE ALMAS,1763,3
42167266,33,3302502,330250220,33025022000,25936045,-22.610593,-43.194861,SALAO DO REINO TESTEMNHAS DE JEOVA,1912,4
40692253,33,3300803,330080305,33008030500,28695000,-22.647669,-42.744956,CAPELA NOSSA SENHORA DE NAZARE,8450,5
223919082,33,3300803,330080305,33008030500,28681770,-22.468104,-42.648921,IGREJA,5337,6
198094792,33,3304003,330400310,33040031000,27185000,-22.605037,-44.038768,IGREJA ASSEMBLEIA DE DEUS MINISTERIO RECANTO FELIZ,1425,7
45201829,33,3304557,330455705,33045570524,23595590,-22.924893,-43.644199,CENTRO ESPIRITA,7805,8
40671341,33,3301702,330170215,33017021500,25268010,-22.647784,-43.248367,IGREJA BATISTA,1633,9
223038996,33,3303500,330350005,33035000517,26297441,-22.827371,-43.602163,TABERNACULO DE BENCAO,2916,10
205148217,33,3306008,330600805,33060080500,25821160,-22.134286,-43.173373,IGREJA BATISTA BETESDA,1328,11
203155532,33,3303500,330350005,33035000516,26293348,-22.785897,-43.557089,IGREJA EVANGELICA ASSEMBLEIA DE DEUS MISSAO APOSTOLICA,1769,12
42421801,33,3302908,330290805,33029080500,26900000,-22.449832,-43.460877,IGREJA ASSEMBLEIA DE DEUS,1250,13
197952721,33,3303500,330350005,33035000519,26042595,-22.691788,-43.473802,IGREJA ASSEMBLEIA DE DEUS MINISTERIO BOAS NOVAS DO SENHOR,4495,14
198036827,33,3304144,330414405,33041440504,26379160,-22.731841,-43.582376,IGREJA PENTECOSTAL CHAMA VIVA,8788,15
96042597,33,3304557,330455705,33045570520,21555150,-22.857119,-43.362835,TENDA ESPIRITA ESTRELA DE SAO JORGE,1423,16
198392424,33,3303500,330350005,33035000521,26062025,-22.644188,-43.414847,IGREJA,9645,17
197730991,33,3301702,330170205,33017020500,25030365,-22.776832,-43.321249,ASSEMBLEIA DE DEUS 910,13738,18
46855440,33,3305554,330555405,33055540500,23894672,-22.809365,-43.773245,VERONICA DE OXOSSI,9758,19
44637327,33,3304557,330455705,33045570522,21862372,-22.864404,-43.462944,IGREJA PENTECOSTAL ANABATISTA,2952,20
204853807,33,3304904,330490415,33049041500,24726367,-22.786394,-42.949626,ASSEMBLEIA DE DEUS,1069,21
