COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDHub
197405831,33,3301900,330190005,33019000500,24815084,-22.727962,-42.871673,IGREJA,1510,1
42172578,33,3302502,330250220,33025022000,25933790,-22.569847,-43.185984,IGREJA ADRV RESTAURANDO VIDAS,4234,2
197840548,33,3301702,330170215,33017021500,25255310,-22.624915,-43.279202,OBRAS SOCIAIS DA ORDEM ESPIRITUALISTA CRISTA VALE DO AMANHECER,12571,3
44920356,33,3304557,330455705,33045570523,23056000,-22.9111,-43.589673,ASSEMBLIADE DEUS IGREJA,1360,4
198715258,33,3304557,330455705,33045570529,22785620,-22.999452,-43.494218,IG EVANG MINISTERIO GRACA EM CRISTO,13554,5
45750496,33,3304904,330490420,33049042000,24431635,-22.829227,-43.073901,EM CONSTRUCAO,1521,6
223965736,33,3303500,330350005,33035000517,26298644,-22.856103,-43.605604,ASSEMBLEIA DE DEUS FESTIM DE GLORIA,6086,7
204496968,33,3304557,330455705,33045570530,21535480,-22.819509,-43.347109,MISSAO BATISTA,1436,8
216776824,33,3303500,330350005,33035000518,26084275,-22.735128,-43.524823,CENTRO UMBANDA,7318,9
224844383,33,3300704,330070405,33007040500,28911320,-22.878292,-42.024854,IEMR,4977,10
197782374,33,3303500,330350005,33035000521,26063340,-22.612413,-43.41152,IGREJA ASSEMBLEIA DE DEUS,12589,11
198778665,33,3304557,330455705,33045570524,23595020,-22.941177,-43.656864,IGREJA PENTECOSTAL DIVINA TEINDADE,1953,12
42166030,33,3302502,330250220,33025022000,25935730,-22.61327,-43.184663,IGREJA BATISTA DA FE,2724,13
43309141,33,3303807,330380705,33038070500,23970000,-23.219672,-44.715875,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,4051,14
40484751,33,3300308,330030805,33003080500,27140060,-22.475988,-43.815277,CENTRO ESPIRITA,1595,15
40333018,33,3300456,330045605,33004560505,26185010,-22.708326,-43.330022,IGREJA ASSEMBREIA DE DEUS TEMPLO DE ADORACAO,13398,16
100440767,33,3300209,330020905,33002090500,28981055,-22.853183,-42.337751,ASSEMBELIA DE DEUS,1493,17
40543850,33,3300209,330020905,33002090500,28978155,-22.874,-42.358489,ASSEMBLEIA DE DEUS,1966,18
95213641,33,3301702,330170205,33017020500,25030050,-22.778091,-43.311247,IGREJA,1991,19
44655808,33,3304557,330455705,33045570525,21930155,-22.821281,-43.173685,IGREJA,5131,20
45231966,33,3304557,330455705,33045570522,21825390,-22.89331,-43.479147,IGREJA PENTENCOSTAL DEUS DE MILAGRES,2677,21
198184353,33,3304557,330455705,33045570523,23040410,-22.939567,-43.557584,SOCIEDADE ESPIRITA CRISTA,1558,22
47031107,33,3306305,330630505,33063050500,27264110,-22.527762,-44.122772,IGREJA CATOLICA NOSSA SENHORA DE FATIMA,3477,23
41633602,33,3302700,330270005,33027000500,24914440,-22.923256,-42.86093,ASSEMBLEIA DE DEUS,1357,24
41429404,33,3300704,330070405,33007040500,28922136,-22.870157,-42.022001,IGREJA EVANGELICA,1949,25
42938499,33,3303500,330350005,33035000510,26010570,-22.756175,-43.419182,CENTRO ESPIRITA HUMILDADE E CARIDADE,7400,26
218250446,33,3304557,330455705,33045570530,21532240,-22.82123,-43.354933,MINISTERIO FE E MILAGRE,1424,27
46837788,33,3305158,330515805,33051580500,25780000,-22.192172,-43.003106,IGREJA BATISTA JERUEL,10050,28
198040135,33,3304144,330414405,33041440505,26320280,-22.705947,-43.589458,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,10000000,29
197687281,33,3302601,330260120,33026012000,23860000,-22.915529,-43.937657,LUAE,10000000,30
