COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDHub
223941559,33,3303005,330300505,33030050500,28460000,-21.404653,-42.186204,IGREJA DEUS E AMOR,1271,1
197986630,33,3304557,330455705,33045570506,23085575,-22.89891,-43.196208,MURALHA DE FOGO,2601,2
197553623,33,3300704,330070420,33007042000,28926602,-22.627807,-42.005279,ASSEMBLEIA DE DEUS,8371,3
199797189,33,3305802,330580210,33058021000,25980096,-22.28665,-42.853844,IGREJA PENTENCOSTAL,8211,4
197439229,33,3301876,330187605,33018760506,28960000,-22.826561,-42.228757,IGREJA EVANGELICA FONTE DA VIDA,6744,5
224492791,33,3303906,330390605,33039060500,25725592,-22.5113,-43.23352,CONGREGACAO ASSEMBLEIA DE DEUS,4869,6
46352260,33,3304805,330480515,33048051500,28400000,-21.681075,-41.887202,IGREJA ASSEMBLEIA DE DEUS,6043,7
45840207,33,3304904,330490405,33049040500,24471040,-22.788166,-43.042231,IGREJA ASSEMBLEIA DE DEUS VALE DA BENCAO,6765,8
198635289,33,3304557,330455705,33045570530,21512002,-22.838092,-43.362644,IGREJA,6610,9
42743579,33,3304557,330455705,33045570507,20211005,-22.909115,-43.188995,LOJA DE MAT DE CONSTRUCAO,1617,10
104422340,33,3304904,330490410,33049041000,24753510,-22.90726,-42.98119,IGREJA CAMINHO DE DEUS,2521,11
216817498,33,3301702,330170215,33017021500,25270450,-22.633629,-43.218846,MINISTERIO BRILHOU A LUZ,2450,12
46877065,33,3306206,330620605,33062060500,27700000,-22.361605,-43.687625,CAPELA SANTO ANTONIO,2464,13
199243472,33,3304904,330490410,33049041000,24752505,-22.875276,-43.000594,IGREJA,2966,14
109158648,33,3301702,330170215,33017021500,25255220,-22.643825,-43.275011,IGREJA,7303,15
44705205,33,3304557,330455705,33045570527,21655400,-22.822721,-43.389132,IGEJA BATISTA,1004,16
40167680,33,3300456,330045605,33004560501,26130622,-22.76105,-43.413341,IGREJA PENTECOSTAL BRASIL IEPB,5288,17
223890929,33,3303500,330350005,33035000519,26062188,-22.680696,-43.426412,AXE TINGUA,1878,18
197334853,33,3301702,330170210,33017021000,25223700,-22.698154,-43.257563,IGREJA PENTENCOSTAL VIDA NO ALTAR,4631,19
216344908,33,3304557,330455705,33045570522,21840600,-22.87543,-43.476978,IGREJA SOLDADO FERIDO,2565,20
45067756,33,3304557,330455705,33045570524,23064140,-22.958848,-43.691139,CENTRO ESPIRITA,4898,21
44544048,33,3304557,330455705,33045570524,23555063,-22.911583,-43.693078,CASA DE UMA VOVO MARIA DO ROSARIO,2095,22
42285406,33,3302502,330250235,33025023500,25931890,-22.59731,-43.13097,CENTRO ESPIRITA,1940,23
42423196,33,3302908,330290805,33029080500,26900000,-22.445056,-43.441468,IGREJA EVANGELICA JESUS CRISTO PARA SEMPRE,5843,24
45248920,33,3304557,330455705,33045570524,23547070,-22.971879,-43.701246,CENTRO,7636,25
42595044,33,3303500,330350005,33035000518,26279230,-22.74863,-43.518261,INSTITUTO ESTRELA MISSIONARIA,4744,26
