COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDHub
42340368,33,3302270,330227005,33022700502,26413260,-22.695323,-43.619356,IGREJA MINISTERIO JESUS ESTA NA CASA,8171,1
101144768,33,3305505,330550510,33055051000,28990051,-22.8689,-42.433643,ASSEMBLEIA DE DEUS MINISTERIO CRESCENDO EM FE,5209,2
220309512,33,3304557,330455705,33045570522,21850007,-22.857959,-43.484371,CAPELA NOSSA SENHORA APARECIDA,5122,3
217910382,33,3305802,330580205,33058020500,25976065,-22.402365,-42.966191,IGREJA REFORMARE,8737,4
218168032,33,3304904,330490420,33049042000,24431182,-22.826182,-43.089174,IGREJA,6141,5
197530510,33,3300456,330045605,33004560505,26178370,-22.714335,-43.379486,ASSEMBLEIA DE DEUS CRISTO O CAMINHO,1348,6
45832339,33,3304904,330490405,33049040500,24467535,-22.80594,-43.049852,IGREJA CRISTA MARANATA,1319,7
204153663,33,3304557,330455705,33045570522,21840570,-22.874565,-43.484216,COMUNIDADE EVANGELICA MINISTERIO ABENCOAR,1732,8
215894944,33,3301702,330170205,33017020500,25212435,-22.785445,-43.32715,AD NOVAS CONQUISTAS,2913,9
197817524,33,3302700,330270005,33027000500,24900001,-22.926867,-42.802346,MINISTERIO AMAR,6444,10
199014255,33,3304557,330455705,33045570523,23085550,-22.891921,-43.547103,CENTRO ESPIRITA CABLOCO ROXO,2114,11
46795709,33,3305554,330555405,33055540500,23890052,-22.802815,-43.636171,IGREJA PENTEOSTAL,7083,12
40866356,33,3301900,330190005,33019000500,24801250,-22.715635,-42.837266,TENDA ESPIRITA SAO JORGE E NOSSA SENHORA DA CONCEICAO,1571,13
198922949,33,3304557,330455705,33045570522,21860005,-22.854769,-43.463116,PRIMEIRA IGREJA BATISTA NO CONJUNTO MARINHA,5758,14
204756493,33,3304904,330490405,33049040500,24750180,-22.851933,-43.028272,IGREJA AMOR DE DEUS EM MOVIMENTO,6990,15
41157836,33,3300605,330060505,33006050500,28360000,-21.142494,-41.682127,TEMPLO EVANG DA ASSEMB DE DEUS,1745,16
197571564,33,3302502,330250215,33025021500,25926381,-22.701776,-43.147332,ILE IANSA E OXOSSI,1228,17
46995037,33,3305109,330510905,33051090500,25580150,-22.784621,-43.346565,TERREIRO ESPIRITA,1844,18
46419904,33,3305802,330580205,33058020500,25958410,-22.441094,-42.972711,CENTRO ESPIRITA,2483,19
197570077,33,3300803,330080305,33008030500,28680000,-22.489962,-42.765149,ASSEMBLEIA DE DEUS CAMPO DO CARMO,2860,20
224694038,33,3302502,330250230,33025023000,25922384,-22.665535,-43.135655,IGREJA METODISTA,2533,21
45835331,33,3304904,330490405,33049040500,24466460,-22.801155,-43.047506,IGREJA NOVA VIDA,1543,22
98936289,33,3305133,330513305,33051330500,28455000,-21.399635,-41.92698,IGREJA CATOLICA,1893,23
41651771,33,3303203,330320305,33032030500,26535590,-22.800246,-43.411001,MISSAO EVANGELICA JAVE TSEKENU,8356,24
46432076,33,3306305,330630505,33063050500,27277090,-22.498677,-44.121859,IGREJA EVAGELICA BRASILEIRA,4383,25
95619618,33,3303500,330350005,33035000517,26298342,-22.830918,-43.614174,ASSEMBLEIA,2953,26
44978594,33,3304557,330455705,33045570523,23059340,-22.917965,-43.606858,IGREJA,2641,27
196652936,33,3300233,330023305,33002330500,28950000,-22.747151,-41.98204,ASSEMBLEIA DE DEUS MINISTERIO EMANUEL,8306,28
198842111,33,3304557,330455705,33045570524,23530620,-22.973488,-43.686217,SEM NOME,1599,29
197360907,33,3301702,330170210,33017021000,25230160,-22.700937,-43.291622,IGREJA PRESBITERIANA DO PILAR,1461,30
41655673,33,3303203,330320305,33032030500,26540124,-22.803866,-43.404741,IGREJA METODISTA CABUIS,4156,31
198031948,33,3303906,330390605,33039060500,25680211,-22.491698,-43.184119,METODISTA,1046,32
46928851,33,3306305,330630505,33063050500,27281490,-22.499206,-44.101031,IGREJA,2304,33
45095224,33,3304557,330455705,33045570521,22710085,-22.943545,-43.38177,IGREJA RESGATAR,2148,34
41880321,33,3303500,330350005,33035000510,26260480,-22.760916,-43.476713,ASSEMBLEIA DE DEUS,2240,35
218975134,33,3305109,330510910,33051091000,25555230,-22.778592,-43.374131,IGREJA PETENCOSTAL,2078,36
198482063,33,3303906,330390623,33039062300,25770020,-22.261482,-43.075607,IGREJA DE DEUS NO BRASIL,1699,37
205168217,33,3306107,330610730,33061073000,27611695,-22.226643,-44.065498,IGREJA EVANGELICA NOVO TEMPO,2721,38
223035401,33,3302908,330290810,33029081000,26910000,-22.483843,-43.500271,PONTO DE PREGACAO MINISTERIO DO AMOR DE DEUS,6985,39
218717786,33,3304144,330414405,33041440501,26310030,-22.72246,-43.564482,NAO TEM,1711,40
41789138,33,3303302,330330205,33033020500,24344504,-22.935657,-43.002406,IGREJA FILADELFIA,2455,41
224714703,33,3304557,330455705,33045570521,22765431,-22.972242,-43.351789,ESCONDERIJO DO ALTISSIMO,4819,42
41830924,33,3303401,330340105,33034010500,28605711,-22.277285,-42.500376,IGREJA,2496,43
221278082,33,3301009,330100905,33010090508,28085110,-21.722919,-41.311364,IGREJA NACAO SANTA,1891,44
41320976,33,3301009,330100905,33010090508,28080095,-21.745396,-41.299868,IGREJA EVANGELICA AGUA DA VIDA,3464,45
198858312,33,3304557,330455705,33045570521,22770110,-22.931402,-43.357702,NAO SEI,7114,46
43061941,33,3303500,330350005,33035000520,26070482,-22.709016,-43.435364,CRUZADA ESPIRITA SUBURBANA,13804,47
198007911,33,3303401,330340105,33034010500,28613580,-22.286009,-42.53088,ASSEMBLEIA DE DEUS ROMPENDO EM FE,1874,48
44648623,33,3304557,330455705,33045570525,21932800,-22.794782,-43.209731,IHREJA NATISTA PARQIE ROYAL,8144,49
106968210,33,3301009,330100980,33010098000,28010000,-21.61592,-41.41516,ASSEMBLEIA DE DEUS,7160,50
45145706,33,3304557,330455705,33045570524,23550700,-22.935058,-43.69881,IGREJA EVANGELICA,1035,51
204542250,33,3304557,330455705,33045570531,23032670,-22.97969,-43.654903,IGREJA EVANGELICA CONGREGACIONAL JARDIM GUARATIBA,1865,52
46598077,33,3305901,330590125,33059012500,28755000,-22.067611,-42.157597,IGREJA CATOLICA SAO JOAO BATISTA,1763,53
197455733,33,3303500,330350005,33035000516,26296015,-22.797691,-43.585201,IGREJA BATISTA MARAPICU,1600,54
43314439,33,3303807,330380705,33038070500,23970000,-23.230865,-44.754097,IGREJA CONGREGACAO CRISTA NO BRASIL,1037,55
46478178,33,3305802,330580205,33058020500,25954185,-22.43779,-42.94286,IGREJA,5468,56
42092548,33,3302205,330220505,33022050500,28300000,-21.203289,-41.914023,IGREJA,1063,57
40634129,33,3301009,330100975,33010097500,28148000,-21.895158,-41.285999,IGREJA CATOLICA TRADICIONAL,1282,58
196550475,33,3300456,330045605,33004560502,26150040,-22.719969,-43.417066,IGREJA,2201,59
95267388,33,3302403,330240330,33024033000,27985000,-22.231321,-42.04844,IGREJA UNIVERSAL,2739,60
197790035,33,3301702,330170210,33017021000,25041430,-22.735174,-43.326277,IGREJA ADVENTISTA DO SETIMO DIA,8164,61
41617929,33,3302403,330240305,33024030505,27943260,-22.378094,-41.788158,IGREJA SANTA MONICA,2103,62
197794450,33,3303302,330330205,33033020500,24110650,-22.863578,-43.082639,IGREJA CATOLICA SAO JOAO,1541,63
45648144,33,3304904,330490415,33049041500,24717450,-22.796731,-43.006823,ASSEMBLEIA DE DEUS MINISTERIO KADOSH,3371,64
196956806,33,3301009,330100950,33010095000,28140000,-22.056308,-41.230254,ASSEMBLEIA DE DEUS,4043,65
199055142,33,3304557,330455705,33045570524,23535035,-22.957662,-43.6938,IGREJA PENTENCOSTAL IDE E PREGAI O EVANGELHO,12951,66
219490916,33,3304904,330490415,33049041500,24716310,-22.78858,-43.010338,MINISTERIO HA UMA SAIDA,2082,67
198896992,33,3304706,330470605,33047060500,28470000,-21.52994,-42.201927,IGREJA METODISTA EM CAMPO ALEGRE,2949,68
43128784,33,3303609,330360905,33036090500,26600000,-22.609463,-43.712387,IGREJA UNIVERSAL DO REINO DE DEUS,7042,69
95432821,33,3303203,330320310,33032031000,26515020,-22.826949,-43.419535,IGREJA,4807,70
46611252,33,3305109,330510910,33051091000,25535202,-22.797488,-43.396092,IGREJA PETENCOSTAL,2464,71
40883230,33,3301900,330190018,33019001800,24858004,-22.769399,-42.940364,IGREJA,2164,72
40892584,33,3301900,330190020,33019002000,24830080,-22.701458,-42.881119,CAPELA,1693,73
46136795,33,3304904,330490405,33049040500,24744400,-22.842089,-43.009259,CENTRO ESPIRITA,2942,74
40730612,33,3301702,330170220,33017022000,25250000,-22.618902,-43.308713,IGREJA ASSEMBLEIA MINISTERIO UNICO,2523,75
224895722,33,3303500,330350005,33035000521,26092000,-22.687215,-43.534875,ASSEMBLEIA DE DEUS CAIA FOGO DO CEU,3924,76
197555419,33,3300704,330070420,33007042000,28926548,-22.615902,-42.012822,ASSEMBLEIA DE DEUS,2179,77
225231093,33,3305307,330530705,33053070500,28555000,-21.956188,-42.136259,IGREJA TESTEMUNHA DE JEOVA,5441,78
41854678,33,3303401,330340105,33034010500,28623500,-22.309988,-42.53675,ASSEMBLEIA DE DEUS,8948,79
44685831,33,3304557,330455705,33045570527,21670360,-22.84931,-43.376386,IGREJA EVANGELICA REVIVER,2591,80
43229838,33,3303500,330350005,33035000512,26265630,-22.758506,-43.492578,IGREJA CATOLICA PAROQUIA SANTA LUZIA,1948,81
44695089,33,3304557,330455705,33045570527,21630160,-22.826361,-43.417398,IGREJA INTERNACIONAL DA GRACA DE DEUS,2162,82
197338419,33,3302403,330240305,33024030505,27935160,-22.389431,-41.793997,ASSEMBLEIA DE DEUS CENTRAL DE MACAE MINISTERIO SEMEADOR,8035,83
40197284,33,3300407,330040705,33004070514,27313520,-22.514116,-44.19703,IGREJA BATISTA VALE DAS BENCAOS,2226,84
223886909,33,3300704,330070405,33007040500,28911070,-22.882355,-42.046648,MINISTERIO ENCONTRO DE VIDA CABO FRIO,2021,85
43117533,33,3303500,330350005,33035000520,26061290,-22.694051,-43.421985,IGREJA CRISTA RENOVADA,2153,86
40878050,33,3301900,330190015,33019001500,24866180,-22.722545,-42.944289,IGREJA EVANGELICA JEOVA RAFA,2187,87
220156190,33,3303302,330330205,33033020500,24320150,-22.908365,-43.050473,IGREJA APOSTOLICA MANANCIAL,1038,88
