COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDHub
40816199,33,3301876,330187605,33018760506,28960000,-22.830654,-42.212734,IGREJA SEM NOME,1355,1
44942631,33,3304557,330455705,33045570521,22750008,-22.939855,-43.338,IGREJA SARA NOSSA TERRA,4141,2
112533921,33,3305133,330513305,33051330500,28455000,-21.339914,-41.987916,SANTUARIO DO SENHOR,2867,3
42649931,33,3303500,330350005,33035000517,26299012,-22.840351,-43.61132,SALAO DAS TESTEMUNHAS DE JEOVA,2007,4
218616799,33,3300456,330045605,33004560501,26112050,-22.758187,-43.40544,TERREIRO,6738,5
196894265,33,3300209,330020905,33002090500,28982616,-22.86229,-42.302296,SEEMEIROS AMOR E GRATIDAO,2768,6
224580964,33,3306107,330610705,33061070500,27600000,-22.21703,-43.682789,ASSEMBLEIA DE DEUS AOS PES DA CRUZ SEDE VASSOURAS,2998,7
198570087,33,3304300,330430005,33043000500,28800000,-22.69907,-42.580461,IGREJA CASA DE ORACAO,19935,8
223889391,33,3300209,330020905,33002090500,28984015,-22.847495,-42.317505,SANTUARIO DA ADORACAO,2761,9
46259127,33,3304557,330455705,33045570531,23020700,-22.964981,-43.589485,IGREJA UNIVERSAL DO REINO DE DEUS,1332,10
198191693,33,3303302,330330205,33033020500,24370240,-22.935232,-43.112555,SALAO DO REINO DAS TESTEMUNHAS DE JEOVA,2075,11
45466977,33,3304557,330455705,33045570524,23585813,-22.923159,-43.638618,IGREJA ASSEMBLEIA DE DEUS,4161,12
41917094,33,3303500,330350005,33035000510,26281570,-22.740401,-43.470885,IGREJA ASSEMBLEIA DE DEUS,9144,13
197397931,33,3301900,330190005,33019000500,24800425,-22.735709,-42.863623,NAO IDENTIFICADO,1632,14
95661727,33,3304201,330420105,33042010500,27513286,-22.482355,-44.452362,UMBANDA,1230,15
44824940,33,3304557,330455705,33045570529,22795090,-23.02697,-43.467716,IGREJA,1741,16
99940532,33,3302502,330250220,33025022000,25935290,-22.594678,-43.187448,IGREJA,1044,17
43287686,33,3303500,330350005,33035000516,26291392,-22.77672,-43.547982,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,2419,18
198712849,33,3304557,330455705,33045570522,21853060,-22.853367,-43.490632,IEADVK,2754,19
198970736,33,3304557,330455705,33045570531,23020718,-23.000196,-43.613364,IGREJA PENTECOSTAL,7926,20
197771152,33,3303302,330330205,33033020500,24140169,-22.890842,-43.087505,IGREJA EVANGELICA JESUS TRANSFORMA VIDAS,1294,21
199046258,33,3305208,330520805,33052080509,28943512,-22.85298,-42.048658,IGREJA,2392,22
199185899,33,3306206,330620605,33062060500,27700000,-22.421012,-43.6741,ASSEMBLEIA DE DEUS MADUREIRA,1950,23
95888079,33,3304557,330455705,33045570517,20760700,-22.875582,-43.293504,IGREJA EVANGELICA UM LUGAR PARA RECOMECAR,5981,24
197839268,33,3301702,330170215,33017021500,25240310,-22.640945,-43.287122,IGREJA EVANGELICA,9602,25
198945750,33,3304557,330455705,33045570529,22641514,-22.986791,-43.309058,IGREJA PENTECOSTAL DEUS E AMOR,9908,26
43062042,33,3303500,330350005,33035000520,26070470,-22.707917,-43.434285,IGREJA,2092,27
197415426,33,3301900,330190005,33019000500,24800201,-22.740649,-42.860616,COMUNIDADE EVANGELICA LUTERANA SANTA MARIA MADALENA,2516,28
199468511,33,3306008,330600820,33060082000,25806160,-22.137162,-43.096361,CENTRO ESPIRITA,2960,29
202352879,33,3301702,330170215,33017021500,25272230,-22.627852,-43.197292,IGREJA FILADELFIA,6622,30
46045745,33,3304557,330455705,33045570536,21044690,-22.856983,-43.241839,CONGREGACAO ASSEMBLEIA DE DEUS,1989,31
46771486,33,3305109,330510915,33051091500,25530600,-22.800765,-43.391605,ASSEMBLEIA DE DEUS,4182,32
40545120,33,3300209,330020905,33002090500,28979660,-22.866352,-42.346974,IGREJA APRISCO MISSAO AMOR E CURA,10928,33
